listing_id	location	title	sub_title	mileage	engine_details	asking_price	vendor	sale_type
1668259734711-3821667009-location	Christchurch, Canterbury	2007 Nissan X-Trail	 4WD - 2.0 AUTO 	136,870km	1997cc, Petrol, Automatic	$9,985		Asking price  $9,985
1668259734798-3821628665-location	Christchurch, Canterbury	2017 Nissan Leaf	 REVERSE CAMERA / ELIGIBLE FOR CCD REBATE 	126,442km	Electric, Automatic	$17,950		Asking price  $17,950
1668259734886-3821542813-location	Christchurch, Canterbury	2016 Nissan Note	 POSSIBLE REBATE OF $954.90 	72,700km	1200cc, Petrol, Automatic	$11,480		Asking price  $11,480
1668259734980-3821542780-location	Christchurch, Canterbury	2016 Nissan Note	 POSSIBLE REBATE OF $954.90 	69,800km	1200cc, Petrol, Automatic	$10,980		Asking price  $10,980
1668259735020-3821542778-location	Christchurch, Canterbury	2017 Nissan Wingroad	sub_title missing	41,000km	1500cc, Petrol, Automatic	$10,980		Asking price  $10,980
1668259735093-3821327798-location	Hamilton, Waikato	2005 Nissan Note	 TIDY THROUGHOUT . DRIVES VERY WELL . FRESH WOF 	127,452km	1490cc, Petrol, Automatic	$5,935		Asking price  $5,935
1668259735201-3821323498-location	Whangarei, Northland	2001 Nissan Sunny	sub_title missing	282,710km	1497cc, Petrol	$2,200	 Private seller 	Or near offer  $2,200
1668259735284-3821312139-location	Tauranga, Bay of Plenty	2016 Nissan Leaf	 PAY ONLY $21930 AFTER $3450 CASH BACK REBATE! 	34,808km	Electric, Automatic	$24,880		Asking price  $24,880
1668259735295-3821312137-location	Tauranga, Bay of Plenty	2018 Nissan Leaf	 PAY ONLY $36930 AFTER $3450 CASH BACK REBATE! 	24,187km	Electric, Automatic	$39,880		Asking price  $39,880
1668259735490-3821312134-location	Tauranga, Bay of Plenty	2015 Nissan Leaf	 PAY ONLY $16930 AFTER $3450 CASH BACK REBATE! 	18,822km	Electric, Automatic	$19,880		Asking price  $19,880
1668259735704-3821312133-location	Tauranga, Bay of Plenty	2017 Nissan Leaf	 PAY ONLY $34930 AFTER $3450 CASH BACK REBATE! 	60,913km	Electric, Automatic	$37,880		Asking price  $37,880
1668259742015-3821311894-location	, Wellington	2018 Nissan Note	 Easy No Deposit Finance Apply On Our Website 	76,500km	1200cc, Hybrid, Automatic	$25,995		Asking price  $25,995
1668259742024-3821263723-location	Christchurch, Canterbury	2019 Nissan Leaf	 ELIGIBLE FOR THE CCD REBATE 	29,880km	Electric, Automatic	$36,450		Asking price  $36,450
1668259742031-3821263721-location	Christchurch, Canterbury	2016 Nissan Leaf	 EMERGENCY BRAKE 	58,000km	Electric, Automatic	$19,950		Asking price  $19,950
1668259742064-3820467911-location	Waiheke Island, Auckland	2005 Nissan Navara	sub_title missing	136,026km	2953cc, Diesel, Manual	$14,000	 Private seller 	Or near offer  $14,000
1668259742071-3820350094-location	Auckland, Auckland	2013 Nissan Juke	 NO CLEAN CAR FEES REQUIRED! 	74,280km	1500cc, Petrol, Automatic	$12,474		Asking price  $12,474
1668259742078-3820256383-location	Auckland, Auckland	2007 Nissan Murano	 ALLOY WHEELS - REVERSE CAMERA - 4WD 	mileage missing	3498cc, Petrol, Automatic	$7,995		Asking price  $7,995
1668259742090-3820204565-location	Christchurch, Canterbury	2015 Nissan Serena	 360 CAMERA / FACELIFT 'AA' APPRAISED & 'AA' CERTIF 	113,076km	2000cc, Hybrid, Automatic	$15,989		Asking price  $15,989
1668259742097-3820136615-location	Auckland, Auckland	2017 Nissan Leaf	 ELIGIBLE FOR EV REBATE OF $3,450 - ASK US! 	26,000km	Electric, Automatic	$35,995		Asking price  $35,995
1668259742103-3820136493-location	Napier, Hawke's Bay	2016 Nissan Note	 NISMO, MANUAL, SPORT, IMMACULATE 	41,550km	1598cc, Petrol, Manual	$18,990		Asking price  $18,990
1668259742115-3820071937-location	Auckland, Auckland	2006 Nissan Skyline	 NO CLEAN CAR FEES REQUIRED! 	79,677km	2490cc, Petrol, Automatic	$7,974		Asking price  $7,974
1668259742125-3820047788-location	Lower Hutt, Wellington	2018 Nissan Leaf	 Drive Away Price - No Hidden Costs 	26,900km	Electric, Automatic	$39,495		Asking price  $39,495
1668259742132-3819970353-location	Auckland, Auckland	2022 Nissan Leaf	 NISSAN LEAF 62KW 	8,378km	Electric	$72,990		Asking price  $72,990
1668259742163-3819846532-location	Christchurch, Canterbury	2017 Nissan Leaf	 360 DEGREE CAMERA / APPLE PLAY 	5,491km	Electric, Automatic	$36,950		Asking price  $36,950
1668259742171-3819846531-location	Christchurch, Canterbury	2012 Nissan Leaf	 10SRS / SOLAR PANEL TO CHARGE 12V BATTERY 	6,000km	Electric, Automatic	$15,950		Asking price  $15,950
1668259742178-3819534284-location	Christchurch, Canterbury	2017 Nissan Note	 HYBRID. REAR CAMERA. FINANCE. TRADE-INS 	81,500km	1200cc, Hybrid, Automatic	$14,950		Asking price  $14,950
